刚才韩雨桐还剩两圈	刚才韩雨桐还甥两圈
从内到去做超越入弯道的时候	从馁到去做吵越入弯道的实侯
其实还是稍微有一点点勉强的	其实还是稍微有一点点勉强的
令直线入弯道的时候	令直线入挽道的事候
太往外划的话	太往外划的话
那内道身位就让出来了	那谦那道身鹘位就穰出来了
如果是后面追着滑	如果是后面追着古
其他运动员可能会把你那个位置添上	其他晕洞员可能会把你那个置添上
就说明中国和韩国这两个短道速滑的传统强队	说明中国和韩国着辆个断道速滑地川统强队
不仅仅是自己争金夺银	不仅仅是自己争金银
其实也为这个项目的推广各自做出了自己的贡献	其实也为浙个项目的推广各自做出了自己的贡献
现在的这个规则是如果再发生碰撞的时候	现在的涸这个规则是如果再发生碰撞的时候
基本上原则还是谁超谁负责	基本上原则还是谁超谁负责
短道速滑就体现了体育的另外一个魅力	短道速滑就体现叻体育的另外以个每力
在冰刀和鞋之间有一个冰	在冰道和鞋之间有异个冰
刀托他冰刀也是有弧度和弯度的	倒托塔槟刀也是有弧度和弯督的
那么就直接取消这个一千米这个项目的比赛资格	那么就直接区消这葛一千米这个项目的比赛资格
因为直道的时候	因为直道的时候
前面的人是不能来回横着晃	迁面的人是步能来回横着晃
他只能滑他自己那条线路	他只能滑他自己呐条线路
加拿大选手晋级应该没有什么问题	加拿大选手晋擒级应该没有深么问题
一直在前面领滑	一直在前面领滑
但是经历过这么多年	但是景历过这么多
将近九年的时间	将近九年的时
在二零一八年平昌冬奥会团体比赛	在二零医八年平长冬奥会团涕比
以一个完美的自由滑呈现	以一个万美的完自由滑盛现
证明他又回来了	证明他又惠来了
点冰三周临时改成了连两周	点冰三周临时改成了两周
剩下其他的所有动作都按照计划完美的滑出来了	剩下其拓地所有动作都按招级划完美德滑出癞了
在比赛当中不紧不慢地把所有的跳跃都完成了	在比赛当中哺紧不慢地把所有的跳粤都挽成了
除了在开场的后面点冰三周	了在开场地后面点冰三周
感觉周数不足	感觉周数不阻
剩下其他的动作都很稳定的	剩下其他的动都很稳定的
最大区别就是她的滑行速度和深度	待区别就是她的滑行速度和深度
本赛季他的自由滑曲目选自于获得第七三届奥斯卡最佳影片奖的二零零零年的美国史诗巨作	本腮季他得自由滑价曲目选自欲祸底第七散届奥斯卡最价狷影片奖的二邗零零零年的美国史诗巨作
角斗士	角单士
他的主题是发生在古罗马角斗场上	他得主珩题是发声古罗角斗场上
一段勇气与复仇的故事	一段勇气与复仇的故事
实际上来讲这个动作	实际殇来讲这个懂作
不是一个特别大的难度动作	不裴是喃一个特别大的难都动作
他的这个质量是让所有的裁判员和运动员都记忆深刻	它的这个质量石让所有的裁判员和运懂员豆计忆深刻
他的意境是在一个夏日的午后	他的意境是在一个夏日的午后
半神半兽的牧神在树荫下小憩	半慎半绶帝牧神在树荫下小憩
在梦中与爱神相遇的一段奇妙浪漫的梦境	在蒙中与爱神向遇的一段奇妙浪漫的梦境
我觉得刚才他滑的这套节目可以说是花样滑冰赛场上的印象派作品	我觉得刚才拓滑的这套节目可以睡是花样滑冰赛场上的印象派作品
我们看到左上角的角标	挝们看到左上角锝角标
他的实时技术分只有六三点六四分	他的实时技术分只有六三殿六四分
但是他这套节目更像是一个艺术品	但是他这套节目更像使一个艺术品
他的每一个伸手投足	他的每以个伸手投足
细节的处理都是那么的这个精巧	细节的处理读是哪么襦的这个精巧
每一个跳跃连接包括步法连接都是那么轻盈	每一个跳月练接包括步筏连接度是那么轻盈
他是一定要用心	他瞬是一紧定要用心
要用多年的感受一点一点去雕琢的	要用多年的感受一点一颠去雕拙
我们能从他的这个滑行当中能看出来	我们能从它的辄个行当中盖看出来
他的伸手投足	蹋的伸手头足
包括四肢的伸展度	包括四肢的身展度
还有旋转姿态的控制	还有旋转姿态的颜控制
都是非常好	都是非常好
