刚才韩雨桐还剩两圈	刚才韩育桐患粮圈
从内到去做超越入弯道的时候	从那到去做超越孺弯辎道的时候
其实还是稍微有一点点勉强的	其实还是梢微有一点点勉强的
令直线入弯道的时候	令直线入弯道的时厚
太往外划的话	太往外的话
那内道身位就让出来了	那内道身位就让出来了
如果是后面追着滑	褥果是后面追着划
其他运动员可能会把你那个位置添上	其蹋运员可台会把你那个位置添上
就说明中国和韩国这两个短道速滑的传统强队	就说明中国和韩果这两个短道速滑第传统强队
不仅仅是自己争金夺银	不谨今是自己徵金多阴
其实也为这个项目的推广各自做出了自己的贡献	其事也为个项目第推广各自出勒仔己的贡献
现在的这个规则是如果再发生碰撞的时候	现在的这个规则是如果再发生碰撞的世候
基本上原则还是谁超谁负责	基本上原则还是谁超谁负责
短道速滑就体现了体育的另外一个魅力	短道速滑就体显了体育的另外一个魅力
在冰刀和鞋之间有一个冰	在冰刀和血之间犹一个冰
刀托他冰刀也是有弧度和弯度的	刀拓他冰刀也是有弧度和弯度的
那么就直接取消这个一千米这个项目的比赛资格	那么直接取消这个一千米折个享目的比赛资格
因为直道的时候	因为至道的时候
前面的人是不能来回横着晃	前面的人是不能来回横着晃
他只能滑他自己那条线路	他只能滑他自己馁条囔线露
加拿大选手晋级应该没有什么问题	加拿大选手尽级应该没有什么问题
一直在前面领滑	一直在前面灵滑
但是经历过这么多年	弹是经利过这妖铎年
将近九年的时间	姜近九年的洺时间
在二零一八年平昌冬奥会团体比赛	殷在二零义八年凭倡冬奥会团体币赛
以一个完美的自由滑呈现	义异个完美的自由滑成线
证明他又回来了	证明他又惠来了
点冰三周临时改成了连两周	点冰三周临时改成了连两
剩下其他的所有动作都按照计划完美的滑出来了	绳下其榻的所有动作都按照计划完美的滑出来聊
在比赛当中不紧不慢地把所有的跳跃都完成了	在比赛当终捕进不慢地把所有的跳跃都完乘了
除了在开场的后面点冰三周	础了在开场第后面点冰三周
感觉周数不足	感觉周硕不
剩下其他的动作都很稳定的	剩下其他的冻作都很稳的
最大区别就是她的滑行速度和深度	大区别就是她的滑行速度何深度
本赛季他的自由滑曲目选自于获得第七三届奥斯卡最佳影片奖的二零零零年的美国史诗巨作	本赛击他的自由滑曲目选姿于获得帝七三届奥斯卡最佳鹰片绛的二零零零年底美国史事巨作
角斗士	交斗是
他的主题是发生在古罗马角斗场上	他的主题是发生在古罗吗角斗场上
一段勇气与复仇的故事	一段勇气与复仇的故事
实际上来讲这个动作	实际来讲这个东坐
不是一个特别大的难度动作	不是一个特别大的难度动作
他的这个质量是让所有的裁判员和运动员都记忆深刻	他的这个质量士嚷有的裁判员和运动员都邬记一深刻
他的意境是在一个夏日的午后	他的意境是在一个日的午后
半神半兽的牧神在树荫下小憩	搬神半兽的牧深在树荫下小憩
在梦中与爱神相遇的一段奇妙浪漫的梦境	在梦重与爱神相欲的一缎奇妙浪漫的猛境
我觉得刚才他滑的这套节目可以说是花样滑冰赛场上的印象派作品	我觉得刚才他滑的这陶节目可以说是桦样滑冰赛场上的印象派作品
我们看到左上角的角标	我们看到左上角的角乏标
他的实时技术分只有六三点六四分	他的是柴时技术分只有六三点六巳分
但是他这套节目更像是一个艺术品	但是他折套节墓更像是一个亦术品
他的每一个伸手投足	他的每个伸首骰足
细节的处理都是那么的这个精巧	细节的处理都是那么的着个精巧
每一个跳跃连接包括步法连接都是那么轻盈	一个跳跃连接包括步法连接都是那么轻盈
他是一定要用心	是一钉要用心
要用多年的感受一点一点去雕琢的	要用多黏的感受一点一点去雕琢臊的
我们能从他的这个滑行当中能看出来	我们能从他的这个滑行当中能看出来
他的伸手投足	他的什手投足
包括四肢的伸展度	侣包廓四肢的伸展度
还有旋转姿态的控制	还有旋撰姿态的空制
都是非常好	都是非肠好
